2024-12-11 13:38:55.762 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-11 13:38:55.791 [main] INFO  cn.edu.xmu.javaee.order.OrderApplication - Starting OrderApplication using Java 20.0.2 with PID 41688 (D:\文档\WORD\大学\JavaEE\JavaEE-2-4\Exp7\10.SpringData_Mongo\order\target\classes started by X-BELIEVER in D:\文档\WORD\大学\JavaEE\JavaEE-2-4\Exp7\10.SpringData_Mongo)
2024-12-11 13:38:55.791 [main] DEBUG cn.edu.xmu.javaee.order.OrderApplication - Running with Spring Boot v3.3.4, Spring v6.1.13
2024-12-11 13:38:55.792 [main] INFO  cn.edu.xmu.javaee.order.OrderApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-11 13:38:56.378 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2024-12-11 13:38:56.415 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32 ms. Found 1 MongoDB repository interface.
2024-12-11 13:38:56.932 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-12-11 13:38:56.934 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.3.1] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.5]
2024-12-11 13:38:56.934 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.3.1] using APR version [1.7.4].
2024-12-11 13:38:56.949 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 3.0.14 4 Jun 2024]
2024-12-11 13:38:56.954 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-12-11 13:38:56.956 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-12-11 13:38:56.956 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
2024-12-11 13:38:56.989 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-12-11 13:38:56.989 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1169 ms
