2024-11-01 15:46:22.153 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-11-01 15:46:22.187 [main] INFO  c.e.x.j.productdemoaop.ProductDemoAOPApplication - Starting ProductDemoAOPApplication using Java 17.0.12 with PID 32208 (D:\文档\WORD\大学\JavaEE\JavaEE-2-4\Exp4\7.SpringAOP\productdemoaop\target\classes started by X-BELIEVER in D:\文档\WORD\大学\JavaEE\JavaEE-2-4\Exp4\7.SpringAOP)
2024-11-01 15:46:22.188 [main] DEBUG c.e.x.j.productdemoaop.ProductDemoAOPApplication - Running with Spring Boot v3.3.4, Spring v6.1.13
2024-11-01 15:46:22.188 [main] INFO  c.e.x.j.productdemoaop.ProductDemoAOPApplication - No active profile set, falling back to 1 default profile: "default"
2024-11-01 15:46:23.238 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-11-01 15:46:23.240 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.3.1] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.5]
2024-11-01 15:46:23.240 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.3.1] using APR version [1.7.4].
2024-11-01 15:46:23.244 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 3.0.14 4 Jun 2024]
2024-11-01 15:46:23.251 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-11-01 15:46:23.253 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-11-01 15:46:23.253 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
2024-11-01 15:46:23.291 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-11-01 15:46:23.291 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1070 ms
2024-11-01 15:46:24.133 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 14 endpoints beneath base path '/actuator'
2024-11-01 15:46:24.174 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-11-01 15:46:24.190 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-11-01 15:46:24.198 [main] INFO  c.e.x.j.productdemoaop.ProductDemoAOPApplication - Started ProductDemoAOPApplication in 2.307 seconds (process running for 2.915)
2024-11-01 15:46:24.766 [RMI TCP Connection(2)-192.168.222.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-11-01 15:46:24.766 [RMI TCP Connection(2)-192.168.222.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-11-01 15:46:24.766 [RMI TCP Connection(2)-192.168.222.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-11-01 15:46:24.789 [RMI TCP Connection(3)-192.168.222.1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-11-01 15:46:36.248 [http-nio-8080-exec-1] DEBUG c.e.x.j.p.m.m.P.getProductWithAll_join - ==>  Preparing: SELECT DISTINCT gp.`id` AS product_id, gp.`shop_id`, gp.`goods_id`, gp.`category_id`, gp.`template_id`, gp.`sku_sn`, gp.`name`, gp.`original_price`, gp.`weight`, gp.`barcode`, gp.`unit`, gp.`origin_place`, gp.`creator_id`, gp.`creator_name`, gp.`modifier_id`, gp.`modifier_name`, gp.`gmt_create`, gp.`gmt_modified`, gp.`status`, gp.`commission_ratio`, gp.`shop_logistic_id`, gp.`free_threshold`, gos.`id` AS sale_id, gos.`price`, gos.`begin_time`, gos.`end_time`, gos.`quantity`, gos.`max_quantity`, gos.`creator_id` AS sale_creator_id, gos.`creator_name` AS sale_creator_name, gos.`modifier_id` AS sale_modifier_id, gos.`modifier_name` AS sale_modifier_name, gos.`gmt_create` AS sale_gmt_create, gos.`gmt_modified` AS sale_gmt_modified, gpr.`id` AS related_product_id, gpr.`sku_sn` AS related_sku_sn, gpr.`name` AS related_name, gpr.`original_price` AS related_original_price, gpr.`weight` AS related_weight FROM goods_product gp LEFT OUTER JOIN goods_onsale gos ON gp.`id` = gos.`product_id` AND gos.`begin_time` <= NOW() AND gos.`end_time` > NOW() LEFT OUTER JOIN goods_product gpr ON gp.`goods_id` = gpr.`goods_id` AND gp.`id` <> gpr.`id` WHERE gp.`name` = ?
2024-11-01 15:46:36.258 [http-nio-8080-exec-1] DEBUG c.e.x.j.p.m.m.P.getProductWithAll_join - ==> Parameters: 欢乐家岭南杂果罐头(String)
2024-11-01 15:46:36.338 [http-nio-8080-exec-1] DEBUG c.e.x.j.p.m.m.P.getProductWithAll_join - <==      Total: 14
